Time,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,
00:00:48.8368143,,,,,,,-0.04540169,-0.1203777,2.11916,-0.02117111,-0.3146761,2.113674,0.1071432,-0.03954042,2.176967,0.1915193,0.149108,2.227408,0.3215136,-0.006317714,2.18242,0.3555026,-0.05788411,2.18186,-0.1636238,-0.01885717,2.078088,-0.2501051,0.1536904,2.021073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00:00:48.8418172,,,,,,,-0.04359409,-0.1203721,2.119101,-0.02108517,-0.3145847,2.112615,0.1081781,-0.04030978,2.175022,0.2094727,0.1429052,2.236532,0.3235095,-0.009469843,2.183113,0.3616996,-0.07663957,2.1866,-0.1635332,-0.02094309,2.078565,-0.2558287,0.143291,2.02679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00:00:48.8918504,,,,,,,-0.04124148,-0.1209501,2.119397,-0.01965271,-0.31372,2.111293,0.1100293,-0.04203871,2.172631,0.2724722,0.09010538,2.203332,0.3712267,-0.05993394,2.163965,0.411318,-0.1209335,2.169691,-0.1652326,-0.02414894,2.08206,,,,-0.3250586,-0.1484293,2.325396,-0.3582123,-0.2024883,2.3739,,,,,,,,,,,,,,,,,,,,,,,,,
00:00:48.9078611,,,,,,,-0.04071264,-0.1214534,2.120291,-0.01988562,-0.3132398,2.110957,0.1114232,-0.04345528,2.171153,0.2714148,0.08124259,2.201383,0.3848198,-0.06551902,2.151347,0.4258417,-0.1282317,2.157444,-0.1684549,-0.02692459,2.086838,-0.2920544,0.1057774,2.020658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00:00:48.9388821,,,,,,,-0.04054535,-0.1219285,2.121084,-0.01965848,-0.3124035,2.110911,0.1123789,-0.04430459,2.169201,0.2847625,0.07522976,2.195086,0.405211,-0.07305726,2.136963,0.4366348,-0.126638,2.142622,-0.1704505,-0.02792135,2.089694,-0.2973476,0.09957642,2.019034,-0.3095567,-0.03504787,2.203165,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00:00:48.9679013,,,,,,,-0.03887358,-0.1224446,2.12232,-0.01903819,-0.3113719,2.110851,0.1135948,-0.04561957,2.167072,0.282378,0.06932986,2.191113,0.4078634,-0.07714516,2.133199,0.4397631,-0.1300997,2.138004,-0.1716938,-0.0294142,2.092792,-0.2960112,0.09369894,2.020994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00:00:49.0229379,,,,,,,-0.03482931,-0.1225523,2.125707,-0.01700068,-0.3113485,2.110551,0.1146605,-0.04654168,2.164331,0.2816961,0.06468719,2.185164,0.4025095,-0.08952802,2.123154,0.4362904,-0.1434721,2.129448,-0.1721797,-0.03113569,2.096143,-0.292569,0.0821979,2.029392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00:00:49.0419509,,,,,,,-0.0345389,-0.1229701,2.126084,-0.01645301,-0.311305,2.11082,0.1165241,-0.04696003,2.162817,0.2781324,0.0614503,2.176304,0.3841031,-0.05841474,2.108143,0.426402,-0.1492651,2.122291,-0.1713476,-0.03198583,2.09797,-0.2898523,0.08047262,2.030588,-0.3857653,-0.1275389,1.996079,-0.4177362,-0.1968761,1.987864,,,,,,,,,,,,,,,,,,,,,,,,,
00:00:49.0809769,,,,,,,-0.0324287,-0.1243408,2.128093,-0.01354292,-0.3123854,2.111541,0.1179056,-0.04749351,2.158668,0.2984464,0.06529175,2.148355,0.371251,-0.08440043,2.110073,0.4042155,-0.1560585,2.114897,-0.1679529,-0.0336384,2.101707,-0.2826608,0.0816319,2.037012,-0.3790887,-0.1243786,2.006301,-0.3987359,-0.1536716,1.978879,,,,,,,,,,,,,,,,,,,,,,,,,
00:00:49.1099953,,,,,,,-0.02346083,-0.1244158,2.132047,-0.01190956,-0.3128414,2.112756,0.1190362,-0.04764283,2.156319,0.2992665,0.06628317,2.146614,0.3683993,-0.08458097,2.107185,0.3945792,-0.1552938,2.11099,-0.1669607,-0.03447705,2.104851,-0.2798004,0.09143136,2.03925,-0.3733371,-0.1158527,2.01221,-0.3966887,-0.151499,1.982317,,,,,,,,,,,,,,,,,,,,,,,,,
