Time,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,
00:00:00.2920702,-0.04280121,0.1389554,1.781154,-0.04264185,0.09255837,1.799809,-0.04176006,-0.1470288,1.790604,-0.02874377,-0.3140438,1.765622,0.1040133,-0.05266172,1.805214,0.1763098,0.1107247,1.777187,0.2590421,-0.0216716,1.686405,0.2729446,-0.05959851,1.690392,-0.1897781,-0.05856936,1.8054,-0.2557986,0.1292002,1.768252,-0.344442,-0.0437953,1.67557,-0.3602726,-0.08892861,1.679036,0.01970063,0.2023412,1.778009,0.01587194,0.4237664,1.494168,,,,,,,-0.1060225,0.2078161,1.775256,-0.08148716,0.4335883,1.479419,-0.1828746,0.6054998,1.558054,,,,
00:00:00.3060799,-0.04308353,0.13844,1.781469,-0.04292077,0.09215745,1.800257,-0.04204847,-0.1471597,1.791223,-0.02932482,-0.3142518,1.766142,0.103896,-0.05479429,1.806053,0.1749276,0.1099807,1.778084,0.2587211,-0.0217816,1.686211,0.27266,-0.05979043,1.690307,-0.1900212,-0.05871364,1.806019,-0.2551713,0.1296094,1.769879,-0.3448729,-0.04374393,1.676634,-0.3609544,-0.08833093,1.681049,0.01947832,0.2020958,1.777995,0.01547123,0.4237508,1.494056,,,,,,,-0.1062983,0.2069778,1.775877,-0.0827292,0.4349998,1.479653,-0.1830741,0.6058443,1.558363,,,,
00:00:00.3140856,-0.04327585,0.1383396,1.781634,-0.04305773,0.09209571,1.800495,-0.04204878,-0.1471388,1.79152,-0.02960837,-0.3141398,1.766298,0.1038618,-0.05445069,1.806042,0.17479,0.1098807,1.778229,0.258605,-0.0219485,1.686085,0.2725953,-0.0598922,1.690217,-0.1900617,-0.05869583,1.806279,-0.2551664,0.1295588,1.770207,-0.3449638,-0.04360003,1.677202,-0.3609039,-0.08771122,1.681804,0.01925358,0.2021287,1.778022,0.0151695,0.4235725,1.494003,,,,,,,-0.1066203,0.2066039,1.776228,-0.08268891,0.4348895,1.47954,,,,,,,
00:00:00.4171549,-0.04350139,0.1383268,1.781849,-0.04326148,0.09213914,1.800895,-0.04224195,-0.1470238,1.792041,-0.02968071,-0.3129233,1.766618,0.1042122,-0.05389964,1.80611,0.1756278,0.1124944,1.77627,0.2582877,-0.02199513,1.685616,0.2716533,-0.05925785,1.689572,-0.1898044,-0.05878291,1.80665,-0.2553568,0.1301002,1.771079,-0.3451048,-0.04323147,1.678537,-0.3610561,-0.08672925,1.683374,0.01891726,0.2023182,1.778031,0.01494068,0.42342,1.493964,,,,,,,-0.1068176,0.2061694,1.776633,-0.0828774,0.4349619,1.47922,-0.1839022,0.609485,1.560927,,,,
00:00:00.4341646,-0.04366448,0.1382385,1.781949,-0.04335682,0.09207314,1.801068,-0.0422814,-0.1470362,1.792139,-0.03007182,-0.3131664,1.766807,0.1040887,-0.05348611,1.805942,0.1765495,0.1164746,1.775015,0.2578126,-0.02208261,1.685364,0.2712047,-0.05901313,1.689326,-0.1902778,-0.05846091,1.807119,-0.2540785,0.129916,1.772762,-0.3451596,-0.04258201,1.679556,-0.3613015,-0.08623089,1.684381,0.01881026,0.2023285,1.777983,0.01470719,0.4234655,1.493771,,,,,,,-0.1071426,0.2060159,1.776965,-0.0830116,0.4350365,1.479288,-0.1839172,0.6095755,1.560984,,,,
00:00:00.4441720,-0.0437387,0.1381427,1.781973,-0.04341272,0.09199362,1.801163,-0.04231853,-0.1470768,1.792175,-0.03011322,-0.313196,1.766872,0.104095,-0.05338635,1.805958,0.1752828,0.1077566,1.775232,0.2581879,-0.02279629,1.684841,0.2711358,-0.05909307,1.689243,-0.190232,-0.05864315,1.807341,-0.2542878,0.1298878,1.772989,-0.3453351,-0.04224389,1.680509,-0.3616457,-0.0862412,1.685462,0.01873746,0.202285,1.777971,0.0146354,0.4234416,1.493764,,,,,,,-0.1072065,0.2058576,1.777002,-0.08300513,0.4348734,1.479216,-0.1838494,0.609569,1.560853,,,,
00:00:00.4771932,-0.04388187,0.1378656,1.782072,-0.04351577,0.09179299,1.80131,-0.04235658,-0.1470762,1.792229,-0.03029579,-0.3132055,1.766882,0.1040319,-0.05336498,1.806009,0.1749961,0.1069692,1.775344,0.2581854,-0.02310438,1.684481,0.2708597,-0.05898067,1.689044,-0.190341,-0.05873335,1.807631,-0.2543074,0.1297131,1.773352,-0.3454119,-0.04228147,1.681026,-0.3617641,-0.08617523,1.686119,0.01863084,0.2021503,1.777985,0.01444889,0.4233682,1.493783,,,,,,,-0.1073787,0.2054267,1.777159,-0.0833757,0.4348572,1.478802,-0.183865,0.6096259,1.5608,,,,
00:00:00.5092140,-0.04399163,0.1378372,1.782117,-0.04359075,0.09177945,1.801401,-0.04234898,-0.1470559,1.79227,-0.03043065,-0.3130247,1.766837,0.1040366,-0.0531076,1.806021,0.1751755,0.1062301,1.775156,0.2583527,-0.02358073,1.683869,0.2707568,-0.05891504,1.688869,-0.1903181,-0.05876572,1.807715,-0.25449,0.1297847,1.773985,-0.3454604,-0.04231939,1.681487,-0.3617024,-0.08607836,1.686601,0.01844663,0.2022104,1.777962,0.01413638,0.423293,1.493746,,,,,,,-0.1075434,0.2052905,1.777271,-0.08402683,0.4356202,1.478771,-0.1838777,0.6096584,1.560783,,,,
00:00:00.5562453,-0.04403081,0.1378324,1.782123,-0.04360558,0.09177704,1.801455,-0.04233093,-0.1470745,1.792294,-0.03053135,-0.3130897,1.766824,0.1040692,-0.05299152,1.806033,0.1747364,0.1060358,1.775633,0.2581003,-0.02330774,1.683804,0.2707086,-0.05895513,1.688795,-0.1901306,-0.05882707,1.807897,-0.2545171,0.1300993,1.774712,-0.3455759,-0.04234125,1.682088,-0.3619546,-0.08595584,1.687395,0.01832299,0.2022306,1.7779,0.01398531,0.4232682,1.493704,,,,,,,-0.107582,0.2052453,1.777309,-0.08405379,0.4355406,1.478752,-0.1831307,0.6071432,1.558241,,,,
00:00:00.5782603,-0.04410563,0.1378185,1.782127,-0.04364379,0.09176666,1.801503,-0.04231536,-0.1470877,1.792304,-0.03060674,-0.3131299,1.766836,0.1041081,-0.05271355,1.806026,0.1742548,0.1065615,1.7761,0.2575019,-0.02259047,1.683862,0.2701561,-0.05873664,1.688239,-0.1900722,-0.05883749,1.808061,-0.254559,0.1301551,1.774958,-0.3456895,-0.04228581,1.682551,-0.361964,-0.08589777,1.687768,0.01820052,0.2022764,1.777846,0.01398078,0.4232591,1.493702,,,,,,,-0.1077157,0.2051619,1.777352,-0.08439117,0.4355224,1.478662,-0.1830972,0.6071322,1.558172,,,,
