Time,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,
00:00:00.0220012,,,,,,,0.02395035,-0.09562371,1.725334,0.001597442,-0.2491654,1.587687,0.1537861,-0.02847081,1.699796,0.2004336,0.1472692,1.725737,0.2376419,0.2344562,1.499274,0.2500447,0.2635185,1.426966,-0.1542972,-0.05605882,1.768247,-0.2679356,0.1056941,1.879776,-0.2457164,0.2918632,1.791445,-0.224089,0.3609826,1.757326,,,,,,,,,,,,,,,,,,,,,,,,,
00:00:00.0690039,,,,,,,0.02402874,-0.09533077,1.725647,0.001158183,-0.2202677,1.583959,0.1538752,-0.02737477,1.699569,0.200506,0.1479032,1.725398,0.2167239,0.2459701,1.549916,0.2259566,0.2918461,1.469983,-0.1542986,-0.05605163,1.768252,-0.2679688,0.1057127,1.879811,-0.2457132,0.2917981,1.791497,-0.2240898,0.3609902,1.75732,,,,,,,,,,,,,,,,,,,,,,,,,
00:00:00.0760043,,,,,,,0.02376214,-0.09505331,1.72581,0.002536835,-0.2218807,1.582597,0.1539199,-0.02731483,1.699568,0.2006071,0.1480467,1.725568,0.2141636,0.3031766,1.636092,0.2257768,0.2922342,1.46982,-0.1542426,-0.05598162,1.768223,-0.2679403,0.105827,1.879782,-0.2456636,0.292183,1.791131,-0.2241472,0.3614459,1.757058,,,,,,,,,,,,,,,,,,,,,,,,,
00:00:00.0970055,,,,,,,0.02390556,-0.09570073,1.725424,0.004594858,-0.2366169,1.583152,0.1539337,-0.02733717,1.699575,0.2005377,0.147796,1.725592,0.2140637,0.303001,1.636184,0.2256158,0.2924823,1.469485,-0.1542054,-0.05619539,1.768198,-0.2678638,0.105819,1.879617,-0.2456626,0.2923059,1.791071,-0.2240717,0.3615274,1.756987,,,,,,,,,,,,,,,,,,,,,,,,,
00:00:00.1270072,,,,,,,0.02387848,-0.09565338,1.725445,0.003521666,-0.228094,1.582329,0.1539283,-0.02689967,1.699488,0.2004457,0.1477768,1.725644,0.2154142,0.2488257,1.550276,0.2253421,0.2935773,1.469077,-0.1545174,-0.05600022,1.768279,-0.2679988,0.1059573,1.879999,-0.2456521,0.2922494,1.79098,-0.2240735,0.3615578,1.756856,,,,,,,,,,,,,,,,,,,,,,,,,
00:00:00.1610092,,,,,,,0.02388121,-0.09565977,1.725447,0.00309213,-0.2278379,1.582123,0.1540657,-0.02677312,1.699495,0.2005152,0.147812,1.725811,0.2112977,0.3084349,1.6473,0.2254703,0.2932763,1.46836,-0.1548137,-0.05573023,1.768292,-0.2682191,0.1063354,1.880021,-0.2455677,0.2922579,1.790766,-0.2240181,0.3615822,1.756682,,,,,,,,,,,,,,,,,,,,,,,,,
00:00:00.2120115,,,,,,,0.02379088,-0.09570225,1.725338,0.002132275,-0.2329244,1.583431,0.1540152,-0.02733474,1.699571,0.2002522,0.1478616,1.725832,0.2164003,0.2476936,1.54764,0.2255581,0.2938053,1.467681,-0.1551794,-0.05547487,1.76846,-0.2684255,0.1068165,1.880127,-0.2455086,0.2923409,1.790617,-0.224345,0.3618251,1.756406,,,,,,,,,,,,,,,,,,,,,,,,,
00:00:00.2320116,,,,,,,0.0239037,-0.09552212,1.72533,0.00346585,-0.2248986,1.582311,0.153869,-0.02645049,1.699215,0.200167,0.1477707,1.725768,0.2164205,0.2473653,1.547629,0.2255658,0.2936862,1.467347,-0.1551785,-0.05544904,1.768465,-0.2685563,0.1068303,1.880106,-0.2455467,0.2923418,1.790534,-0.2243058,0.3618811,1.75628,,,,,,,,,,,,,,,,,,,,,,,,,
00:00:00.2620116,,,,,,,0.02391781,-0.09554411,1.725321,0.003638926,-0.2343473,1.58446,0.1539644,-0.02681367,1.69914,0.2000017,0.1475165,1.725546,,,,0.2258401,0.2933757,1.467352,-0.1551456,-0.05546155,1.768455,-0.2684217,0.1070482,1.879975,-0.2453397,0.2927648,1.790117,-0.2240986,0.3624531,1.755966,,,,,,,,,,,,,,,,,,,,,,,,,
00:00:00.2920117,,,,,,,0.02384632,-0.09551612,1.725397,0.002693558,-0.2339143,1.582952,0.1537266,-0.02694256,1.699067,0.1997446,0.1475089,1.725537,0.2188199,0.3023619,1.636151,0.2268617,0.2926236,1.466298,-0.1554318,-0.05533114,1.768609,-0.2686709,0.1072307,1.880176,-0.2453063,0.2931776,1.789703,-0.2239592,0.3629114,1.755739,,,,,,,,,,,,,,,,,,,,,,,,,
